Course #	Dep	ID	Course Name	SBC	Credits
LIN 380	LIN	380	Anatomy and Physiology of Speech and Hearing	STEM+	3
LIN 381	LIN	381	Language and Speech Disorders	STEM+	3
LIN 382	LIN	382	Audiology	STEM+	3
LIN 405	LIN	405	Writing in Linguistics	ESI WRTD	2
LIN 425	LIN	425	Special Topics in Linguistics		3
LIN 426	LIN	426	Special Topics in Linguistics		3
LIN 427	LIN	427	Special Topics in Linguistics		3
LIN 431	LIN	431	The Structure of an Uncommonly Taught Language	CER SBS+ SPK	4
LIN 444	LIN	444	Experiential Learning	EXP+	0
LIN 447	LIN	447	Directed Readings in Linguistics		1-6
LIN 449	LIN	449	Field Experience, Grades N-12	EXP+	1
LIN 450	LIN	450	Field Experience, Grades N-12	CER EXP+ SPK	1
LIN 451	LIN	451	Supervised Teaching -- English as a Second Language: Primary Grades N-6	CER EXP+ SPK	6
LIN 452	LIN	452	Supervised Student Teaching in English as a Second Language: Secondary Grades 7-12	CER EXP+ SPK	6
LIN 454	LIN	454	Managing Instruction, Assessment, and Resources	CER EXP+ SPK	3
LIN 475	LIN	475	Undergraduate Teaching Practicum I	EXP+	3
LIN 476	LIN	476	Undergraduate Teaching Practicum II	EXP+	3
LIN 487	LIN	487	Directed Research in Linguistics		1-6
LIN 488	LIN	488	Internship	EXP+	0-6
LIN 495	LIN	495	Senior Honors Project in Linguistics		0-3
LIN 496	LIN	496	Senior Honors Project in Linguistics		0-3
MAE 301	MAE	301	Foundations of Secondary School Mathematics		3
MAE 302	MAE	302	Methods and Materials for Teaching Secondary School Mathematics	CER EXP+ SPK	3
MAE 311	MAE	311	Introduction to Methods of Teaching Secondary School Mathematics		3
MAE 312	MAE	312	Micro-Teaching	DIV EXP+ SPK	2
MAE 330	MAE	330	Technology in Mathematics Education	TECH	3
MAE 400	MAE	400	Experiential Learning, Speak Effectively, Practice Critical and Ethical Reasoning	CER EXP+ SPK	0
MAE 401	MAE	401	Respect Diversity and Foster Inclusiveness (DIV) for BS/MA in Teaching only	DIV	0
MAE 447	MAE	447	Directed Readings in Mathematics Education		1
MAE 451	MAE	451	Supervised Teaching - Middle School Level Grades 7-9	CER EXP+ SPK	6
MAE 452	MAE	452	Supervised Teaching - High School Grades 10-12	CER EXP+ SPK	6
MAE 454	MAE	454	Student Teaching Seminar	CER EXP+ SPK	3
MAP 101	MAP	101	Fundamentals of Arithmetic and Algebra		3
MAP 102	MAP	102	Proficiency Algebra Review		0
MAP 103	MAP	103	Proficiency Algebra		3
MAR 101	MAR	101	Long Island Sound: Science and Use	SNW	3
MAR 102	MAR	102	Introduction to SCUBA Diving		2
MAR 104	MAR	104	Oceanography	SNW	3
MAR 301	MAR	301	Environmental Microbiology		4
MAR 302	MAR	302	Marine Microbiology and Microbial Ecology		3
MAR 303	MAR	303	Long Island Marine Habitats	STEM+	4
MAR 304	MAR	304	Waves, Tides, and Beaches	STEM+	3
MAR 305	MAR	305	Experimental Marine Biology	STEM+	3
MAR 306	MAR	306	Introduction to Scientific Diving		2
MAR 308	MAR	308	Environmental Instrumental Analysis	STEM+ TECH	3
MAR 315	MAR	315	Marine Conservation	ESI STAS	3
MAR 318	MAR	318	Engineering Geology and Coastal Processes	STEM+	3
MAR 320	MAR	320	Limnology	STEM+	4
MAR 333	MAR	333	Coastal Oceanography	STEM+	3
MAR 334	MAR	334	Remote Sensing of the Environment	STEM+ TECH	3
MAR 336	MAR	336	Marine Pollution		3
MAR 340	MAR	340	Environmental Problems and Solutions	STAS	3
MAR 346	MAR	346	Marine Sedimentology		3
MAR 349	MAR	349	Introduction to Biological Oceanography		4
MAR 350	MAR	350	Introduction to Ocean Physics		2
MAR 351	MAR	351	Introduction to Ocean Chemistry	STEM+	3
MAR 352	MAR	352	Introduction to Physical Oceanography	STEM+	3
MAR 354	MAR	354	Introduction to Geological Oceanography	STEM+	3
MAR 355	MAR	355	Coastal Cultural Experience	ESI EXP+	2
MAR 356	MAR	356	Maritime Traditions of New England	SBS USA	3
MAR 357	MAR	357	Unsinkable Technologies: History of Maritime Science and Technology	ESI STAS	3
MAR 370	MAR	370	Marine Mammals		3
MAR 373	MAR	373	Marine Apex Predators: Ecology and Conservation		3
MAR 375	MAR	375	Marine Mammal and Sea Turtle Rehabilitation		3
MAR 376	MAR	376	Biology and Conservation of Sea Turtles		3
MAR 377	MAR	377	Biology and Conservation of Seabirds		3
MAR 380	MAR	380	Ichthyology	ESI WRTD	3
MAR 382	MAR	382	Introduction to Next Generation Sequencing and its applications across fields	STEM+	3
MAR 384	MAR	384	Diseases of Aquatic Organisms	STEM+	3
MAR 385	MAR	385	Principles of Fishery Biology and Management		3
MAR 386	MAR	386	Ecosystem Science for Fisheries Management		3
MAR 388	MAR	388	Tropical Marine Ecology	ESI EXP+ STEM+	4
MAR 390	MAR	390	Aquaculture	ESI STEM+	3
MAR 392	MAR	392	Waste Management Issues	STAS	3
MAR 393	MAR	393	Waste Treatment Technologies		3
MAR 394	MAR	394	Environmental Toxicology and Public Health	ESI STAS	3
MAR 395	MAR	395	Topics in Marine Environmental Sciences		3
MAR 447	MAR	447	Readings in Marine Science		1-3
MAR 458	MAR	458	Speak Effectively Before an Audience	SPK	0
MAR 459	MAR	459	Write Effectively in ATM, ENS, MAR and MVB	WRTD	0
MAR 475	MAR	475	Undergraduate Teaching Practicum	EXP+	3
MAR 487	MAR	487	Research in Marine Sciences	EXP+	0-6
MAR 488	MAR	488	Internship	EXP+	0-6
MAT 118	MAT	118	Mathematical Thinking	QPS	3
MAT 119	MAT	119	Foundations for Precalculus		1
MAT 122	MAT	122	Overview of Calculus with Applications	QPS	3
MAT 123	MAT	123	Precalculus	QPS	3
MAT 125	MAT	125	Calculus A	QPS	3
MAT 126	MAT	126	Calculus B	QPS	3
MAT 127	MAT	127	Calculus C	QPS	3
MAT 130	MAT	130	Trigonometry and Logarithms		1
MAT 131	MAT	131	Calculus I	QPS	4
MAT 132	MAT	132	Calculus II	QPS	4
MAT 141	MAT	141	Analysis I	QPS	4
MAT 142	MAT	142	Analysis II	QPS	4
MAT 171	MAT	171	Accelerated Single-Variable Calculus	QPS	4
MAT 200	MAT	200	Logic, Language and Proof	STEM+	3
MAT 203	MAT	203	Calculus III with Applications	STEM+	4
MAT 211	MAT	211	Introduction to Linear Algebra	STEM+	3
MAT 220	MAT	220	Linear Algebra and Geometry	STEM+	3
MAT 250	MAT	250	Introduction to Advanced Mathematics	QPS	4
MAT 260	MAT	260	Problem Solving in Mathematics		1
MAT 303	MAT	303	Calculus IV with Applications	STEM+	4
MAT 307	MAT	307	Multivariable Calculus with Linear Algebra	STEM+	4
MAT 308	MAT	308	Differential Equations with Linear Algebra	STEM+	4
MAT 310	MAT	310	Linear Algebra		4
MAT 311	MAT	311	Number Theory		3
MAT 312	MAT	312	Applied Algebra		3
MAT 313	MAT	313	Abstract Algebra		3
MAT 314	MAT	314	Abstract Algebra II		3
MAT 315	MAT	315	Advanced Linear Algebra		4
MAT 319	MAT	319	Foundations of Analysis		4
MAT 320	MAT	320	Introduction to Analysis		4
MAT 322	MAT	322	Analysis in Several Dimensions		3
MAT 324	MAT	324	Real Analysis		3
MAT 331	MAT	331	Computer-Assisted Mathematical Problem Solving	TECH	3
MAT 336	MAT	336	History of Mathematics	SPK STAS WRTD	3
MAT 341	MAT	341	Applied Real Analysis		3
MAT 342	MAT	342	Applied Complex Analysis		3
MAT 351	MAT	351	Differential Equations: Dynamics and Chaos		3
MAT 360	MAT	360	Geometric Structures		3
MAT 362	MAT	362	Differential Geometry of Surfaces		3
MAT 364	MAT	364	Topology and Geometry		3
MAT 371	MAT	371	Logic		3
MAT 373	MAT	373	Analysis of Algorithms		3
MAT 401	MAT	401	Seminar in Mathematics	SPK	3
MAT 402	MAT	402	Seminar in Mathematics	SPK	3
MAT 425	MAT	425	How to teach remedial mathematics		3
MAT 444	MAT	444	Experiential Learning	EXP+	0
MAT 458	MAT	458	Speak Effectively Before an Audience	SPK	0
MAT 459	MAT	459	Write Effectively in Mathematics	WRTD	0
MAT 475	MAT	475	Undergraduate Teaching Practicum	EXP+	3
MAT 487	MAT	487	Independent Study in Special Topics		0-6
MAT 495	MAT	495	Honors Thesis	EXP+ WRTD	3
MDA 117	MDA	117	Media: Analysis and Culture		3
MDA 277	MDA	277	The Media Industry		3
MDA 480	MDA	480	Projects in Media		0-3
MDA 488	MDA	488	Internship	EXP+	0-6
MEC 100	MEC	100	Introduction to Mechanical Engineering		3
MEC 101	MEC	101	Freshman Design Innovation		3
MEC 102	MEC	102	Engineering Computing and Problem Solving		2
MEC 104	MEC	104	Practical Science of Things	SNW TECH	3
MEC 105	MEC	105	Everyday Science and Engineering	SNW TECH	3
MEC 203	MEC	203	Engineering Graphics and CAD		3
MEC 220	MEC	220	Practical Electronics for Mechanical Engineers		3
MEC 225	MEC	225	Fundamentals of Machining Practices		1
MEC 226	MEC	226	Modern Machining Practices		1
MEC 260	MEC	260	Engineering Statics		3
MEC 262	MEC	262	Engineering Dynamics		3
MEC 280	MEC	280	Pollution and Human Health	STAS	3
MEC 300	MEC	300	Professional Conduct for Engineers		2
MEC 301	MEC	301	Thermodynamics		3
MEC 305	MEC	305	Heat and Mass Transfer		3
MEC 310	MEC	310	Introduction to Machine Design		3
MEC 316	MEC	316	Instrumentation and Solid Mechanics Laboratory	TECH	2
MEC 317	MEC	317	Thermal Sciences and Fluid Mechanics Laboratory	TECH	2
MEC 320	MEC	320	Numerical Methods in Engineering Design and Analysis		3
MEC 325	MEC	325	Manufacturing Processes		3
MEC 363	MEC	363	Mechanics of Solids		3
MEC 364	MEC	364	Introduction to Fluid Mechanics		3
MEC 393	MEC	393	Engineering Fluid Mechanics		3
MEC 398	MEC	398	Thermodynamics II		3
MEC 402	MEC	402	Mechanical Vibrations		3
MEC 410	MEC	410	Design of Machine Elements		3
MEC 411	MEC	411	Control System Analysis and Design		4
MEC 422	MEC	422	Thermal System Design		3
MEC 423	MEC	423	Internal Combustion Engines		3
MEC 440	MEC	440	Mechanical Engineering Design I	CER ESI EXP+ SBS+ SPK STEM+ WRTD	3
MEC 441	MEC	441	Mechanical Engineering Design II	CER ESI EXP+ SBS+ SPK STEM+ WRTD	3
MEC 442	MEC	442	Introduction to Experimental Stress Analysis		3
MEC 450	MEC	450	Mechatronics		3
MEC 455	MEC	455	Applied Stress Analysis		3
MEC 456	MEC	456	Introduction to Engineering Mechanics of Composites		3
MEC 457	MEC	457	Engineering Composites Fabrication and Characterization		3
MEC 464	MEC	464	Fundamentals of Aerodynamics		3
MEC 465	MEC	465	Aerospace Propulsion		3
MEC 470	MEC	470	Introduction to Tribology		3
MEC 475	MEC	475	Undergraduate Teaching Practicum	EXP+	3
MEC 488	MEC	488	Mechanical Engineering Internship	EXP+	3-9
MEC 491	MEC	491	Topics in Mechanical Engineering		1-4
MEC 492	MEC	492	Topics in Mechanical Engineering		1-4
MEC 495	MEC	495	Professional Engineering Seminar		1
MEC 499	MEC	499	Research in Mechanical Engineering		0-3
MSL 101	MSL	101	Introduction to the Army		1
MSL 102	MSL	102	Foundations of Agile and Adaptive Leadership		1
MSL 201	MSL	201	Leadership and Decision Making		2
MSL 202	MSL	202	Army Doctrine and Team Development		2
MSL 301	MSL	301	Training Management and Warfighting Functions		4
MSL 302	MSL	302	Applied Leadership in Small Unit Operations		4
MSL 401	MSL	401	The Army Officer		4
MSL 402	MSL	402	Company Grade Leadership	EXP+	4
MUS 101	MUS	101	Introduction to Western Classical Music	ARTS	3
MUS 103	MUS	103	Introduction to Music and the Cinema	ARTS	3
MUS 105	MUS	105	Music Cultures of the World	ARTS	3
MUS 109	MUS	109	Rock, Popular Music, and Society	ARTS	3
MUS 119	MUS	119	The Elements of Music	ARTS	3
MUS 120	MUS	120	Elementary Musicianship		2
MUS 121	MUS	121	Musicianship I		2
MUS 122	MUS	122	Beginning Keyboard		1
MUS 130	MUS	130	Sound Structures	ARTS	3
MUS 141	MUS	141	Keyboard Harmony A		1
MUS 142	MUS	142	Keyboard Harmony B		1
MUS 161	MUS	161	Piano		2
MUS 163	MUS	163	Harpsichord		2
MUS 165	MUS	165	Violin		2
MUS 166	MUS	166	Viola		2
MUS 167	MUS	167	Cello		2
MUS 168	MUS	168	String Bass		2
MUS 169	MUS	169	Classical Guitar		2
MUS 170	MUS	170	Flute		2
MUS 171	MUS	171	Oboe		2
MUS 172	MUS	172	Clarinet		2
MUS 173	MUS	173	Bassoon		2
MUS 175	MUS	175	Horn		2
MUS 176	MUS	176	Trumpet		2
MUS 177	MUS	177	Trombone		2
MUS 178	MUS	178	Saxophone		2
MUS 180	MUS	180	Percussion		2
MUS 182	MUS	182	Voice		2
MUS 187	MUS	187	Other Instruments		2
MUS 189	MUS	189	Introduction to Jazz Improvisation		1
MUS 208	MUS	208	Introduction to Music Technology	ARTS TECH	3
MUS 220	MUS	220	Musicianship II		2
MUS 221	MUS	221	Musicianship III		2
MUS 235	MUS	235	Introduction to African Drumming		1
MUS 261	MUS	261	Stony Brook Chorale		1
MUS 262	MUS	262	University Orchestra		1
MUS 263	MUS	263	University Wind Ensemble		1
MUS 264	MUS	264	Big Band Jazz Ensemble		1
MUS 265	MUS	265	Workshop in Performance		1
MUS 266	MUS	266	Guitar Workshop		1
MUS 267	MUS	267	Small Jazz Ensemble Level 1		1
MUS 268	MUS	268	Spirit of Stony Brook Athletic Band		1
MUS 271	MUS	271	Camerata Singers		1
MUS 289	MUS	289	Small Jazz Ensemble Level 2		1
MUS 290	MUS	290	Vocal Repertory		1
MUS 300	MUS	300	Music, Technology, and Digital Culture	STAS	3
MUS 303	MUS	303	Music in the Age of Beethoven	GLO HFA+	3
MUS 304	MUS	304	American Music	HFA+ USA	3
MUS 306	MUS	306	The Music and Culture of Hip-Hop	HFA+ USA	3
MUS 307	MUS	307	Imaginative Worlds of Opera	GLO HFA+	3
MUS 308	MUS	308	History of Jazz	HFA+ USA	3
MUS 309	MUS	309	Music Since 1900	GLO HFA+	3
MUS 310	MUS	310	Music and Culture in the 1960's	HFA+ USA	3
MUS 311	MUS	311	Topics in Ethnomusicology	GLO SBS+	3
MUS 313	MUS	313	Hearing Politics	DIV HUM SBS+	3
MUS 314	MUS	314	Music, Gender, and Sexuality	SBS+	3
MUS 315	MUS	315	The Structural Principles of Music I		3
MUS 316	MUS	316	The Structural Principles of Music II		3
MUS 317	MUS	317	Music in China	GLO SBS+	3
MUS 320	MUS	320	U.S. Popular Music	HFA+ USA	3
MUS 321	MUS	321	Tonal Harmony I		3
MUS 322	MUS	322	Tonal Harmony II		3
MUS 323	MUS	323	Techniques of Music, 1880 to the Present		3
MUS 331	MUS	331	Musicianship IV		2
MUS 335	MUS	335	Advanced African Drumming		1
MUS 339	MUS	339	Beginning Composition		3
MUS 340	MUS	340	Timbre and Technology		3
MUS 341	MUS	341	Sound Design	ARTS TECH	3
MUS 344	MUS	344	Audio Engineering	TECH	3
MUS 350	MUS	350	Western Classical Music Before 1750	ESI GLO HFA+	4
MUS 351	MUS	351	Western Classical Music 1750 to 1900	ESI GLO HFA+	4
MUS 352	MUS	352	Western Classical Music from 1900 to the Present	ESI GLO HFA+	4
MUS 361	MUS	361	Piano		4
MUS 362	MUS	362	Piano Pedagogy		1
MUS 363	MUS	363	Harpsichord		4
MUS 365	MUS	365	Violin		4
MUS 366	MUS	366	Viola		4
MUS 367	MUS	367	Cello		4
MUS 368	MUS	368	String Bass		4
MUS 369	MUS	369	Classical Guitar		4
MUS 370	MUS	370	Flute		4
MUS 371	MUS	371	Oboe		4
MUS 372	MUS	372	Clarinet		4
MUS 373	MUS	373	Bassoon		4
MUS 375	MUS	375	Horn		4
MUS 376	MUS	376	Trumpet		4
MUS 377	MUS	377	Trombone		4
MUS 378	MUS	378	Saxophone		4
MUS 380	MUS	380	Percussion		4
MUS 382	MUS	382	Voice		4
MUS 387	MUS	387	Other Instruments		4
MUS 388	MUS	388	Fundamentals of Accompanying		2
MUS 390	MUS	390	Advanced Accompanying		2
MUS 391	MUS	391	Chamber Music		1
MUS 421	MUS	421	Analysis of Tonal Music		3
MUS 422	MUS	422	Analysis of Post-Tonal Music		3
MUS 437	MUS	437	Electronic Music	TECH	3
MUS 439	MUS	439	Composition		3
MUS 444	MUS	444	Experiential Learning	EXP+	0
MUS 450	MUS	450	Seminar in the History of Music	ESI HFA+	3
MUS 451	MUS	451	Senior Seminar in Ethnography of Music	DIV ESI HFA+	3
MUS 458	MUS	458	Speak Effectively Before an Audience	SPK	0
MUS 459	MUS	459	Write Effectively in Music	WRTD	0
MUS 475	MUS	475	Undergraduate Teaching Practicum I	EXP+	3
MUS 476	MUS	476	Undergraduate Teaching Practicum II	EXP+	3
MUS 487	MUS	487	Independent Project		0-6
MUS 488	MUS	488	Internship	EXP+	0-6
MUS 491	MUS	491	Conducting		3
MUS 495	MUS	495	Senior Honors Project in Music		3
MVL 141	MVL	141	The Legend of King Arthur	GLO HUM	3
MVL 241	MVL	241	Heroes and Warriors	GLO HUM	3
MVL 447	MVL	447	Independent Readings and Research		1-3
MVL 475	MVL	475	Undergraduate Teaching Practicum I	EXP+	3
MVL 476	MVL	476	Undergraduate Teaching Practicum II	EXP+	3
OAE 190	OAE	190	Intermediate Oral Academic English		3
OAE 194	OAE	194	Advanced Oral Academic English		3
PER 101	PER	101	Intensive Elementary Persian	LANG	6
PER 111	PER	111	Elementary Persian I	LANG	3
PER 112	PER	112	Elementary Persian II	LANG	3
PHI 100	PHI	100	Concepts of the Person (II)	CER HUM	3
PHI 101	PHI	101	Historical Introduction to Western Philosophy (I)	HUM	3
PHI 102	PHI	102	Introduction to Philosophical Psychology	HUM SBS	3
PHI 103	PHI	103	Philosophic Problems (II)	HUM SBS	3
PHI 104	PHI	104	Moral Reasoning (II)	CER HUM	3
PHI 105	PHI	105	Politics and Society (II)	CER HUM	3
PHI 108	PHI	108	Logical and Critical Reasoning (II)	ESI HUM	3
PHI 109	PHI	109	Philosophy and Literature in Social Context (III)	CER HUM	3
PHI 110	PHI	110	Arts and Ideas (III)	HUM	3
PHI 111	PHI	111	Introduction to Eastern Philosophy (I)	GLO HUM	3
PHI 112	PHI	112	Technology and Modern Life	STAS	3
PHI 113	PHI	113	Philosophical Engineering	HUM TECH	3
PHI 116	PHI	116	Philosophy of America's Founding	HUM USA	3
PHI 200	PHI	200	Introduction to Ancient Philosophy (I)	GLO HUM	3
PHI 201	PHI	201	Demons to Think With	HUM TECH	3
PHI 206	PHI	206	Introduction to Modern Philosophy (17th and 18th century) (I)	GLO HUM	3
PHI 220	PHI	220	Introduction to Symbolic Logic (II)	QPS	3
PHI 247	PHI	247	Existentialism (I)	CER HUM	3
PHI 264	PHI	264	Philosophy and the Arts (III)	ARTS HUM	3
PHI 268	PHI	268	Science, Technology, and Society	STAS	3
PHI 277	PHI	277	Political Philosophy (II)	CER HUM	3
PHI 284	PHI	284	Introduction to Feminist Theory (III)	CER HUM	3
PHI 300	PHI	300	Ancient Philosophy (I)	CER HFA+	3
PHI 304	PHI	304	Medieval Philosophy (I)	HFA+	3
PHI 306	PHI	306	Modern Philosophy (I)	CER HFA+	3
PHI 308	PHI	308	19th-Century Philosophy (I)	HFA+	3
PHI 309	PHI	309	20th-Century Philosophy (I)	CER HFA+	3
PHI 310	PHI	310	American Philosophy (I)	HFA+ USA	3
PHI 312	PHI	312	Phenomenology	GLO HFA+ SBS+	3
PHI 320	PHI	320	Metaphysics (II)	HFA+	3
PHI 325	PHI	325	Contemporary Philosophies of Language (II)	HFA+	3
PHI 330	PHI	330	Topics in Advanced Symbolic Logic (II)	STEM+	3
PHI 332	PHI	332	Theories of Knowledge (II)	HFA+	3
PHI 335	PHI	335	Philosophy of Time (II)	HFA+	3
PHI 336	PHI	336	Philosophy of Religion (II)	CER HFA+	3
PHI 340	PHI	340	Philosophical Traditions of East Asia (I)	CER GLO HFA+	3
PHI 344	PHI	344	Japanese Thought and Philosophy (I)	CER GLO HFA+	3
PHI 347	PHI	347	Hermeneutics and Deconstruction (II)	ESI HFA+	3
PHI 353	PHI	353	Philosophy of Mind (II)	ESI HFA+	3
PHI 362	PHI	362	Philosophy of Biology	STAS	3
PHI 363	PHI	363	Philosophy of the Social Sciences (III)	HFA+ SBS+	3
PHI 364	PHI	364	Philosophy of Technology (III)	STAS	3
PHI 365	PHI	365	Philosophy and Computers (III)	TECH	3
PHI 366	PHI	366	Philosophy of the Environment (III)	CER HFA+	3
PHI 367	PHI	367	Philosophy of War and Peace (III)	CER HFA+	3
PHI 368	PHI	368	Philosophy of Science (III)	STAS	3
PHI 369	PHI	369	Philosophy of Mathematics (III)	STEM+	3
PHI 370	PHI	370	Philosophical Psychology (III)	HFA+ SBS+	3
PHI 371	PHI	371	Literature and Justice (III)	CER HFA+	3
PHI 372	PHI	372	Ethical Inquiry (II)	CER HFA+	3
PHI 373	PHI	373	Philosophy in Relation to Other Disciplines (III)	HFA+	3
PHI 374	PHI	374	Bioethics	CER HFA+	3
PHI 375	PHI	375	Philosophy of Law (III)	CER HFA+	3
PHI 376	PHI	376	Philosophy and Medicine (III)	CER HFA+	3
PHI 377	PHI	377	Contemporary Political Philosophy (II)	CER HFA+	3
PHI 378	PHI	378	Philosophical Topics in Asian American History (III)	HFA+	3
PHI 379	PHI	379	Philosophy of Race (III)	CER HFA+ USA	3
PHI 380	PHI	380	Literature and Philosophy (III)	HFA+	3
PHI 381	PHI	381	Aesthetics (II)	HFA+	3
PHI 382	PHI	382	The Quantum Moment: Quantum Mechanics in Philosophy, Culture, and Life (III)	STAS	3
PHI 384	PHI	384	Advanced Topics in Feminist Philosophy (III)	CER HFA+	3
PHI 390	PHI	390	Topics in Philosophy (either I, II, or III)		1-3
PHI 395	PHI	395	Junior Seminar	ESI	3
PHI 400	PHI	400	Advanced Seminar on Ancient Western Philosophy		3
PHI 401	PHI	401	Individual Systems of the Great Philosophers (I)	HFA+	3
PHI 402	PHI	402	Analysis of Philosophic Texts (I)	HFA+	3
PHI 406	PHI	406	Advanced Seminar on Modern Western Philosophy		3
PHI 420	PHI	420	Advanced Topics in Philosophy (either I, II, or III)		3
PHI 444	PHI	444	Experiential Learning	EXP+	0
PHI 458	PHI	458	Speak Effectively Before an Audience	SPK	0
PHI 459	PHI	459	Write Effectively in Philosophy	WRTD	0
PHI 472	PHI	472	Topics in Asian Philosophy (I)	ESI HFA+	3
PHI 473	PHI	473	Orientalism	HFA+	3
PHI 475	PHI	475	Undergraduate Teaching Practicum I	EXP+	3
PHI 476	PHI	476	Undergraduate Teaching Practicum II	EXP+	3
PHI 487	PHI	487	Readings and Research in Philosophy (II)		0-6
PHI 489	PHI	489	Readings and Research in the History of Philosophy (I)		0-6
PHI 490	PHI	490	Readings and Research in Philosophical Investigations of Other Disciplines (III)		0-6
PHI 495	PHI	495	Philosophy Honors Thesis		3
PHY 112	PHY	112	Light, Color, and Vision	SNW	3
PHY 113	PHY	113	Physics of Sports	SNW	3
PHY 115	PHY	115	Physics of Sports Laboratory		1
PHY 119	PHY	119	Physics for Environmental Studies	SNW	4
PHY 121	PHY	121	Physics for the Life Sciences I	SNW	4
PHY 122	PHY	122	Physics for the Life Sciences II	SNW	4
PHY 125	PHY	125	Classical Physics A	SNW	3
PHY 126	PHY	126	Classical Physics B	SNW	3
PHY 127	PHY	127	Classical Physics C	SNW	3
PHY 131	PHY	131	Classical Physics I	SNW	3
PHY 132	PHY	132	Classical Physics II	SNW	3
PHY 133	PHY	133	Classical Physics Laboratory I		1
PHY 134	PHY	134	Classical Physics Laboratory II		1
PHY 141	PHY	141	Classical Physics I: Honors	SNW	3
PHY 142	PHY	142	Classical Physics II: Honors	SNW	3
PHY 153	PHY	153	Data Analysis for Physics and Astronomy with Python	TECH	3
PHY 191	PHY	191	Transitional Study		1
PHY 192	PHY	192	Transitional Study		1
PHY 231	PHY	231	Physics for Future Presidents	STAS	3
PHY 237	PHY	237	World Climate and Atmosphere	STAS	3
PHY 251	PHY	251	Modern Physics	STEM+	3
PHY 252	PHY	252	Modern Physics Laboratory		1
PHY 277	PHY	277	Computation for Physics and Astronomy	TECH	3
PHY 287	PHY	287	Introduction to Research	EXP+	0-3
PHY 291	PHY	291	Transitional Study		1
PHY 300	PHY	300	Waves and Optics	STEM+	4
PHY 301	PHY	301	Electromagnetic Theory I		3
PHY 302	PHY	302	Electromagnetic Theory II		3
PHY 303	PHY	303	Mechanics		3
PHY 306	PHY	306	Thermodynamics, Kinetic Theory, and Statistical Mechanics		3
PHY 307	PHY	307	Physical and Mathematical Foundations of Quantum Mechanics		4
PHY 308	PHY	308	Quantum Physics		3
PHY 311	PHY	311	Connections in Science		1
PHY 313	PHY	313	Mystery of Matter	STAS	3
PHY 335	PHY	335	Electronics and Instrumentation Laboratory	TECH	3
PHY 382	PHY	382	The Quantum Moment: Quantum Mechanics in Philosophy, Culture, and Life (III)	STAS	3
PHY 390	PHY	390	Special Topics in Physics		3
PHY 405	PHY	405	Advanced Quantum Physics		3
PHY 408	PHY	408	Relativity		3
PHY 420	PHY	420	Introduction to Accelerator Science and Technology		3
PHY 431	PHY	431	Nuclear and Particle Physics		3
PHY 444	PHY	444	Experiential Learning	EXP+	0
PHY 445	PHY	445	Senior Laboratory	ESI SPK	3
PHY 447	PHY	447	Tutorial in Advanced Topics		1-6
PHY 451	PHY	451	Quantum Electronics		3
PHY 452	PHY	452	Atomic Physics and Lasers	TECH	3
PHY 458	PHY	458	Speak Effectively Before an Audience	SPK	0
PHY 459	PHY	459	Write Effectively in Physics	WRTD	0
PHY 472	PHY	472	Solid-State Physics		3
PHY 475	PHY	475	Undergraduate Teaching Practicum	EXP+	0-3
PHY 487	PHY	487	Research	EXP+	0-6
POL 101	POL	101	World Politics	GLO SBS	3
POL 102	POL	102	Introduction to American Government	SBS USA	3
POL 103	POL	103	Introduction to Comparative Politics	SBS	3
POL 201	POL	201	Introduction to Statistical Methods in Political Science	QPS	3
POL 214	POL	214	Modern Latin America	GLO SBS	3
POL 216	POL	216	History of U.S.-Latin American Relations	GLO SBS	3
POL 270	POL	270	Experiments in Political Science	SBS	3
POL 287	POL	287	Introductory Research in Political Science	ESI	0-3
POL 305	POL	305	Government and Politics of the United Kingdom	SBS+	3
POL 307	POL	307	Women in U.S.-Asian Relations	SBS+ SPK	3
POL 308	POL	308	Women Islam and Political Change in Africa	GLO SBS+	3
POL 309	POL	309	Politics in the European Union	SBS+	3
POL 310	POL	310	Immigration and Refugee Politics	DIV SBS+	3
POL 311	POL	311	Introduction to International Law		3
POL 313	POL	313	Problems of International Relations	SBS+	3
POL 317	POL	317	American Election Campaigns	SBS+	3
POL 318	POL	318	Voters and Elections	SBS+	3
POL 319	POL	319	Business Law		3
POL 320	POL	320	Constitutional Law and Politics: United States	SBS+	3
POL 322	POL	322	The Presidency in the American Political System	SBS+	3
POL 323	POL	323	U.S. Congress	SBS+	3
POL 324	POL	324	American Political Parties and Pressure Groups	SBS+	3
POL 325	POL	325	Civil Liberties and Civil Rights	SBS+	3
POL 327	POL	327	Urban Politics	SBS+	3
POL 328	POL	328	Criminal Law	SBS+	3
POL 330	POL	330	Gender Issues in the Law	DIV SBS+	3
POL 332	POL	332	Politics of Criminal Due Process	SBS+	3
POL 333	POL	333	Environmental Law		3
POL 334	POL	334	Modern Terrorism	SBS+	3
POL 336	POL	336	U.S. Foreign Policy	SBS+	3
POL 337	POL	337	The Politics of Africa	SBS+	3
POL 338	POL	338	Contemporary India: History, Politics, and Diplomacy	GLO SBS+	3
POL 339	POL	339	Contemporary China: History, Politics, and Diplomacy	GLO SBS+	3
POL 340	POL	340	America's Wars in Asia	SBS+ WRTD	3
POL 344	POL	344	American Political Ideology and Public Opinion	SBS+	3
POL 346	POL	346	Political Psychology	SBS+	3
